RUNNUMBER,PRESSURE_MEAN,D1_MAX,MEAN_A_MEAN,SUM_D1_MAX_MEAN_A_MEAN,GAIN,RUNPERIOD
72366,100.93,299.15,10.1507125,309.3007125,0.157,RP_2020
73171,100.56,300.04999999999995,9.3497875,309.39978749999995,0.151,RP_2020
72160,100.55,299.25,9.090975,308.340975,0.155,RP_2020
71678,99.799,299.25,9.986725,309.236725,0.146,RP_2020
72878,100.04,300.15,9.8708,310.02079999999995,0.145,RP_2020
71371,100.93,299.25,4.3213875,303.5713875,0.152,RP_2020
71554,99.942,299.25,6.708375,305.958375,0.145,RP_2020
71990,99.712,299.15,10.0548,309.2048,0.144,RP_2020
73143,100.32,300.04999999999995,9.392275,309.44227499999994,0.149,RP_2020
72392,100.43,299.25,8.8180875,308.0680875,0.154,RP_2020
72041,100.74,299.15,8.815150000000001,307.96515,0.158,RP_2020
72273,101.5,299.15,8.2625125,307.4125125,0.165,RP_2020
72175,100.26,299.25,9.1533875,308.4033875,0.151,RP_2020
72661,100.45,300.04999999999995,10.105225,310.155225,0.146,RP_2020
73218,101.08,300.04999999999995,8.8207375,308.87073749999996,0.158,RP_2020
71475,99.961,299.25,6.8112625,306.0612625,0.145,RP_2020
71911,101.57,299.15,8.1698875,307.3198875,0.168,RP_2020
73126,100.65,300.04999999999995,9.3937,309.4437,0.152,RP_2020
72825,100.24,300.15,10.3478125,310.49781249999995,0.146,RP_2020
71686,99.995,299.35,9.9343625,309.28436250000004,0.149,RP_2020
72847,100.3,300.15,10.263775,310.413775,0.148,RP_2020
72261,101.37,299.25,8.7356125,307.9856125,0.164,RP_2020
71681,100.04,299.25,9.184375,308.434375,0.149,RP_2020
73044,100.79,300.04999999999995,9.3441,309.3941,0.152,RP_2020
72854,100.04,300.15,9.6250125,309.7750125,0.145,RP_2020
72050,99.973,299.15,9.5961125,308.7461125,0.15,RP_2020
73118,100.61,300.04999999999995,9.297175,309.34717499999994,0.15,RP_2020
71518,101.42,299.15,6.0875,305.23749999999995,0.164,RP_2020
71981,99.342,299.15,8.762475,307.912475,0.139,RP_2020
73048,100.78,299.95,9.445025,309.395025,0.151,RP_2020
72838,100.49,300.15,9.848,309.998,0.15,RP_2020
71684,100.04,299.35,10.0436125,309.3936125,0.149,RP_2020
72822,100.22,300.04999999999995,11.717875,311.76787499999995,0.145,RP_2020
72656,100.58,300.15,10.118375,310.268375,0.149,RP_2020
71561,99.755,299.25,6.954212500000001,306.2042125,0.143,RP_2020
72262,101.32,299.25,8.541337500000001,307.7913375,0.163,RP_2020
72144,101.52,299.25,8.8864625,308.1364625,0.167,RP_2020
73209,100.39,300.04999999999995,10.4609375,310.51093749999995,0.15,RP_2020
72250,101.15,299.25,7.362675000000001,306.612675,0.16,RP_2020
72872,100.15,300.15,9.37665,309.52664999999996,0.146,RP_2020
72191,99.825,299.25,9.200824999999998,308.450825,0.146,RP_2020
71645,101.08,299.25,8.3962125,307.6462125,0.162,RP_2020
72659,100.65,300.15,9.9910875,310.14108749999997,0.151,RP_2020
72285,101.57,299.15,8.904925,308.05492499999997,0.166,RP_2020
72714,100.02,300.15,10.3707125,310.5207125,0.144,RP_2020
71718,99.448,299.25,9.7497125,308.9997125,0.141,RP_2020
72395,101.09,299.25,8.7127,307.9627,0.161,RP_2020
72256,101.48,299.25,8.014462499999999,307.2644625,0.163,RP_2020
72798,99.952,300.25,10.2124625,310.4624625,0.145,RP_2020
72182,100.37,299.25,9.1997375,308.4497375,0.15,RP_2020
71815,101.28,299.15,9.97705,309.12705,0.16,RP_2020
72014,100.1,299.15,10.085575,309.235575,0.15,RP_2020
72796,99.821,300.25,10.162699999999996,310.4127,0.143,RP_2020
73172,100.41,299.95,9.348975,309.298975,0.15,RP_2020
71814,101.24,299.15,9.796587499999998,308.94658749999996,0.158,RP_2020
72177,100.24,299.25,8.8212,308.0712,0.151,RP_2020
71865,100.34,299.15,9.8352125,308.9852125,0.15,RP_2020
71969,99.646,299.25,9.1848875,308.4348875,0.144,RP_2020
73069,100.19,300.04999999999995,9.3172125,309.36721249999994,0.147,RP_2020
72390,100.43,299.25,9.6256,308.8756,0.153,RP_2020
72034,100.85,299.15,8.9780875,308.1280875,0.159,RP_2020
71698,99.755,299.25,9.52425,308.77425,0.146,RP_2020
71603,99.537,299.25,8.555575,307.805575,0.143,RP_2020
73117,100.63,300.04999999999995,9.4119625,309.46196249999997,0.151,RP_2020
72844,100.3,300.15,9.534462500000002,309.6844625,0.149,RP_2020
71511,101.5,299.15,6.373187499999999,305.52318749999995,0.164,RP_2020
73215,101.11,300.04999999999995,8.8214875,308.87148749999994,0.159,RP_2020
73047,100.82,299.95,9.708875,309.65887499999997,0.151,RP_2020
71876,101.52,299.15,8.655687499999999,307.8056875,0.163,RP_2020
71968,99.547,299.15,9.6549875,308.8049875,0.142,RP_2020
71849,100.53,299.25,9.3341125,308.5841125,0.155,RP_2020
71944,100.3,299.25,9.4150625,308.6650625,0.153,RP_2020
72107,100.67,299.25,8.700675,307.950675,0.156,RP_2020
71354,101.35,299.25,4.07545,303.32545,0.157,RP_2020
71369,100.95,299.25,4.0643,303.3143,0.152,RP_2020
71934,100.66,299.25,8.80935,308.05935,0.156,RP_2020
71695,99.921,299.25,9.7306375,308.9806375,0.146,RP_2020
73163,100.93,299.95,9.2535625,309.2035625,0.154,RP_2020
71863,100.39,299.04999999999995,9.8131,308.8631,0.15,RP_2020
71853,100.47,299.25,9.1921375,308.4421375,0.154,RP_2020
72184,100.21,299.25,9.229049999999996,308.47905,0.149,RP_2020
73053,100.8,299.95,9.36245,309.31245,0.153,RP_2020
72887,99.712,300.15,9.8004625,309.95046249999996,0.141,RP_2020
71493,100.71,299.15,0.1875,299.3375,0.153,RP_2020
72744,99.691,300.15,10.029837500000005,310.17983749999996,0.142,RP_2020
71776,100.67,299.25,9.60165,308.85165,0.156,RP_2020
72379,100.65,299.25,8.860975,308.110975,0.155,RP_2020
72169,100.45,299.25,8.8819125,308.1319125,0.152,RP_2020
72850,100.24,300.15,9.587662500000002,309.7376625,0.148,RP_2020
71482,99.559,299.25,7.368575,306.618575,0.14,RP_2020
72078,100.67,299.25,9.01035,308.26035,0.155,RP_2020
73043,100.78,300.04999999999995,9.557312500000002,309.6073125,0.151,RP_2020
71747,101.19,299.15,8.935224999999999,308.085225,0.159,RP_2020
72297,101.26,299.15,7.995962500000001,307.1459625,0.161,RP_2020
73072,100.26,299.95,9.7278125,309.6778125,0.147,RP_2020
71614,100.28,299.15,9.6467,308.7967,0.151,RP_2020
72789,99.755,300.15,10.681562499999998,310.83156249999996,0.142,RP_2020
71773,100.82,299.25,9.0527375,308.3027375,0.155,RP_2020
71982,99.69,299.15,9.991075,309.141075,0.142,RP_2020
71921,101.08,299.15,8.6409375,307.7909375,0.161,RP_2020
72662,100.45,300.04999999999995,10.2778125,310.32781249999994,0.147,RP_2020
72728,99.885,300.04999999999995,10.0570625,310.1070625,0.142,RP_2020
73058,100.67,300.04999999999995,9.3423625,309.39236249999993,0.152,RP_2020
71628,100.67,299.25,9.036224999999998,308.286225,0.156,RP_2020
72195,99.864,299.25,8.9542,308.2042,0.145,RP_2020
72363,101.26,299.15,9.2708875,308.4208875,0.159,RP_2020
71512,101.48,299.15,6.380962499999999,305.5309625,0.163,RP_2020
73039,100.06,300.04999999999995,9.53255,309.58254999999997,0.144,RP_2020
72669,100.42,300.15,9.4033625,309.5533625,0.148,RP_2020
72101,99.864,299.25,10.0942875,309.3442875,0.147,RP_2020
71786,99.559,299.35,9.808375000000002,309.15837500000004,0.144,RP_2020
72159,100.56,299.25,9.4208625,308.6708625,0.154,RP_2020
72863,100.04,300.15,9.4639,309.6139,0.145,RP_2020
72401,101.3,299.25,9.056075,308.306075,0.163,RP_2020
72389,100.4,299.25,9.4968875,308.7468875,0.152,RP_2020
72912,99.537,300.15,11.185750000000002,311.33574999999996,0.138,RP_2020
71937,100.45,299.15,9.38865,308.53864999999996,0.155,RP_2020
71428,101.52,299.25,4.0163875,303.2663875,0.16,RP_2020
72178,100.19,299.25,8.715749999999998,307.96575,0.149,RP_2020
72677,100.13,300.15,10.0192,310.1692,0.144,RP_2020
72396,101.15,299.25,8.845725,308.095725,0.162,RP_2020
71627,100.71,299.15,9.4759375,308.62593749999996,0.156,RP_2020
72407,101.5,299.15,8.84475,307.99474999999995,0.166,RP_2020
71646,101.08,299.25,9.103325,308.353325,0.162,RP_2020
72832,100.34,300.15,10.543625,310.693625,0.149,RP_2020
73056,100.8,299.95,9.2532375,309.2032375,0.153,RP_2020
72076,100.1,299.25,9.5383625,308.7883625,0.148,RP_2020
71783,100.09,299.35,9.002099999999999,308.3521,0.15,RP_2020
73088,100.71,300.04999999999995,9.1556125,309.2056125,0.153,RP_2020
71925,100.98,299.15,8.682575,307.83257499999996,0.16,RP_2020
71927,100.63,299.25,8.648925,307.898925,0.155,RP_2020
72008,99.995,299.15,9.9630625,309.11306249999996,0.148,RP_2020
72370,100.65,299.15,9.086725,308.236725,0.153,RP_2020
71525,101.13,299.25,6.3663625,305.6163625,0.159,RP_2020
72070,99.908,299.15,9.8632625,309.0132625,0.145,RP_2020
72720,99.973,300.15,11.45175,311.60175,0.144,RP_2020
71404,100.17,299.25,4.3193875,303.5693875,0.143,RP_2020
71946,100.21,299.25,9.439100000000002,308.6891,0.151,RP_2020
72772,99.864,300.15,10.0278125,310.17781249999996,0.144,RP_2020
73266,101.52,300.35,9.070662499999996,309.4206625,0.16,RP_2020
71473,100.3,299.25,7.213525,306.463525,0.148,RP_2020
71477,99.603,299.25,6.767774999999999,306.017775,0.141,RP_2020
71719,99.298,299.25,9.8497125,309.0997125,0.14,RP_2020
71514,101.39,299.15,6.832925,305.98292499999997,0.163,RP_2020
71680,100.15,299.25,9.2015,308.4515,0.149,RP_2020
72420,101.22,299.15,8.865549999999999,308.01554999999996,0.163,RP_2020
73229,101.5,299.95,8.821800000000001,308.7718,0.163,RP_2020
71977,99.494,299.25,10.404475,309.654475,0.142,RP_2020
72717,100.02,300.15,10.3949875,310.5449875,0.144,RP_2020
72266,101.24,299.15,8.910837500000001,308.0608375,0.162,RP_2020
72713,100.0,300.15,10.239725,310.389725,0.143,RP_2020
72774,99.864,300.15,9.8784375,310.0284375,0.144,RP_2020
72155,100.7,299.15,10.079562500000002,309.2295625,0.154,RP_2020
73191,99.892,300.04999999999995,9.7611,309.81109999999995,0.145,RP_2020
71656,100.15,299.25,9.5010875,308.7510875,0.151,RP_2020
72046,100.65,299.15,9.33675,308.48675,0.158,RP_2020
71767,101.5,299.25,8.349037500000001,307.5990375,0.165,RP_2020
71885,101.52,299.15,8.57165,307.72164999999995,0.165,RP_2020
72797,99.886,300.15,10.101075,310.25107499999996,0.144,RP_2020
72672,100.13,300.15,10.0485625,310.1985625,0.143,RP_2020
73150,100.89,299.95,10.2823625,310.23236249999997,0.155,RP_2020
72775,99.713,300.15,11.0154125,311.1654125,0.143,RP_2020
71637,100.95,299.15,8.654124999999999,307.804125,0.158,RP_2020
72145,101.43,299.25,8.53575,307.78575,0.165,RP_2020
